dist,sum_dist
0,0
1e-07,-12.1584
2e-07,-18.1674
3e-07,-18.5477
4e-07,-12.3777
5e-07,-30.1095
6e-07,0.801994
7e-07,-36.1093
8e-07,9.44736
9e-07,-7.97533
1e-06,0.534079
1.1e-06,-13.8234
1.2e-06,-21.2639
1.3e-06,-4.80755
1.4e-06,-2.26962
1.5e-06,-38.9116
1.6e-06,-41.0714
1.7e-06,11.415
1.8e-06,-21.3393
1.9e-06,24.4306
2e-06,-19.2269
2.1e-06,-41.3295
2.2e-06,-17.7707
2.3e-06,-20.3306
2.4e-06,0.391503
2.5e-06,-15.5198
2.6e-06,-2.65745
2.7e-06,-29.8892
2.8e-06,-19.8817
2.9e-06,7.66511
3e-06,-6.49962
3.1e-06,-4.95201
3.2e-06,-14.5626
3.3e-06,-9.5134
3.4e-06,-33.4011
3.5e-06,0.848306
3.6e-06,10.4871
3.7e-06,-6.60852
3.8e-06,-22.4783
3.9e-06,-4.90486
4e-06,-10.127
4.1e-06,10.0732
4.2e-06,-29.5213
4.3e-06,-26.2597
4.4e-06,19.5864
4.5e-06,-27.9381
4.6e-06,-4.95561
4.7e-06,-24.9161
4.8e-06,-20.6815
4.9e-06,-43.4133
5e-06,-20.0465
5.1e-06,-24.2042
5.2e-06,-22.7911
5.3e-06,-38.4922
5.4e-06,12.9937
5.5e-06,-0.994596
5.6e-06,-5.8915
5.7e-06,-16.7026
5.8e-06,-52.9171
5.9e-06,-24.7597
6e-06,7.43775
6.1e-06,12.2414
6.2e-06,-13.268
6.3e-06,-11.1143
6.4e-06,-30.8262
6.5e-06,-18.1179
6.6e-06,-29.3097
6.7e-06,-28.1066
6.8e-06,-22.1287
6.9e-06,-22.0758
7e-06,-26.4101
7.1e-06,-17.0573
7.2e-06,-7.83674
7.3e-06,-19.402
7.4e-06,-11.5933
7.5e-06,-16.8182
7.6e-06,-18.4863
7.7e-06,-11.2831
7.8e-06,0.909745
7.9e-06,-6.17187
8e-06,-39.7701
8.1e-06,-17.2939
8.2e-06,-6.03377
8.3e-06,-37.3793
8.4e-06,-22.812
8.5e-06,3.06326
8.6e-06,-10.5787
8.7e-06,-31.3424
8.8e-06,-32.898
8.9e-06,-9.16832
9e-06,-20.2841
9.1e-06,8.8315
9.2e-06,-12.9109
9.3e-06,-13.2378
9.4e-06,-19.6041
9.5e-06,-38.7076
9.6e-06,-27.9628
9.7e-06,-19.3967
9.8e-06,-17.5289
9.9e-06,-0.896742
1e-05,-21.6772
1.01e-05,-30.7606
1.02e-05,-22.0257
1.03e-05,-10.118
1.04e-05,14.4635
1.05e-05,-26.8642
1.06e-05,-31.9372
1.07e-05,-14.0218
1.08e-05,-32.3589
1.09e-05,-46.7942
1.1e-05,-16.1838
1.11e-05,-26.1153
1.12e-05,-25.5817
1.13e-05,-1.2355
1.14e-05,-13.6836
1.15e-05,-20.2024
1.16e-05,-26.8475
1.17e-05,-24.3341
1.18e-05,13.7345
1.19e-05,2.91878
1.2e-05,21.9316
1.21e-05,-33.636
1.22e-05,-12.7732
1.23e-05,-20.2785
1.24e-05,-18.5559
1.25e-05,-0.711136
1.26e-05,-29.1023
1.27e-05,-23.8923
1.28e-05,9.65905
1.29e-05,-8.43695
1.3e-05,-14.8028
1.31e-05,-7.75154
1.32e-05,-7.21666
1.33e-05,-5.95884
1.34e-05,-14.732
1.35e-05,-3.92592
1.36e-05,-22.6181
1.37e-05,-28.4476
1.38e-05,-2.88397
1.39e-05,-5.32569
1.4e-05,-32.2454
1.41e-05,-16.9514
1.42e-05,-4.37609
1.43e-05,-38.5268
1.44e-05,-3.91488
1.45e-05,-8.64785
1.46e-05,11.2194
1.47e-05,-33.5446
1.48e-05,-18.6802
1.49e-05,-34.1567
1.5e-05,-39.3857
1.51e-05,-31.3977
1.52e-05,-17.2429
1.53e-05,-10.6796
1.54e-05,6.93938
1.55e-05,-1.23328
1.56e-05,-20.9861
1.57e-05,-5.26965
1.58e-05,-6.51047
1.59e-05,-24.4771
1.6e-05,-16.6157
1.61e-05,-1.54001
1.62e-05,-9.08928
1.63e-05,-36.6011
1.64e-05,-32.178
1.65e-05,-32.8
1.66e-05,-32.2885
1.67e-05,11.9345
1.68e-05,-18.9093
1.69e-05,-18.2332
1.7e-05,-59.5386
1.71e-05,-7.70693
1.72e-05,-17.551
1.73e-05,-28.3411
1.74e-05,-14.4324
1.75e-05,-27.5258
1.76e-05,-2.93135
1.77e-05,-12.5333
1.78e-05,-33.4639
1.79e-05,-1.73158
1.8e-05,-15.949
1.81e-05,-25.2949
1.82e-05,-23.0115
1.83e-05,5.61365
1.84e-05,-15.1578
1.85e-05,-14.8407
1.86e-05,-17.6832
1.87e-05,-31.5418
1.88e-05,-44.399
1.89e-05,-2.38625
1.9e-05,19.1202
1.91e-05,-8.90753
1.92e-05,-14.5264
1.93e-05,-29.6162
1.94e-05,-28.3789
1.95e-05,-13.9555
1.96e-05,-11.4683
1.97e-05,-7.91609
1.98e-05,-22.0287
1.99e-05,-41.5806
2e-05,-11.9726
2.01e-05,-37.5545
2.02e-05,-7.79116
2.03e-05,3.74658
2.04e-05,5.20952
2.05e-05,-10.8461
2.06e-05,6.28943
2.07e-05,4.02592
2.08e-05,-0.952765
2.09e-05,-35.4436
2.1e-05,-12.7134
2.11e-05,-4.82923
2.12e-05,-14.116
2.13e-05,-27.731
2.14e-05,11.7073
2.15e-05,-13.3429
2.16e-05,24.0465
2.17e-05,-12.0897
2.18e-05,-34.1391
2.19e-05,-3.42257
2.2e-05,9.24806
2.21e-05,-27.4042
2.22e-05,-2.20383
2.23e-05,-12.8074
2.24e-05,-38.4427
2.25e-05,-28.4384
2.26e-05,-7.87581
2.27e-05,11.5485
2.28e-05,-8.29355
2.29e-05,12.5057
2.3e-05,-33.7116
2.31e-05,-26.9204
2.32e-05,-28.8803
2.33e-05,-6.91832
2.34e-05,-16.7195
2.35e-05,-15.6069
2.36e-05,-36.0009
2.37e-05,-35.3273
2.38e-05,-9.47957
2.39e-05,-29.2425
2.4e-05,-1.28804
2.41e-05,5.84913
2.42e-05,-27.8002
2.43e-05,5.18592
2.44e-05,10.5707
2.45e-05,-8.56854
2.46e-05,0.308524
2.47e-05,0.318924
2.48e-05,-2.62421
2.49e-05,-24.0497
2.5e-05,10.5161
2.51e-05,-22.3301
2.52e-05,-13.0671
2.53e-05,-6.20091
2.54e-05,-2.3185
2.55e-05,-22.8387
2.56e-05,1.39343
2.57e-05,-11.192
2.58e-05,-15.8211
2.59e-05,16.3028
2.6e-05,-23.3813
2.61e-05,-1.73186
2.62e-05,6.51037
2.63e-05,-26.5036
2.64e-05,18.6322
2.65e-05,-0.13766
2.66e-05,-43.822
2.67e-05,-11.6318
2.68e-05,-8.16252
2.69e-05,-22.9271
2.7e-05,-43.6535
2.71e-05,-9.47595
2.72e-05,-22.076
2.73e-05,-14.4259
2.74e-05,-10.206
2.75e-05,-25.4821
2.76e-05,9.74724
2.77e-05,-39.2806
2.78e-05,-11.4727
2.79e-05,-19.9022
2.8e-05,-3.61661
2.81e-05,-40.1841
2.82e-05,-12.8832
2.83e-05,6.44637
2.84e-05,-20.0427
2.85e-05,-8.06634
2.86e-05,18.5805
2.87e-05,10.0436
2.88e-05,-18.9476
2.89e-05,-16.153
2.9e-05,-31.571
2.91e-05,-17.4984
2.92e-05,-31.7427
2.93e-05,3.10199
2.94e-05,4.42725
2.95e-05,-30.8197
2.96e-05,4.74518
2.97e-05,-13.2824
2.98e-05,-17.156
2.99e-05,-28.5814
3e-05,-32.7185
3.01e-05,-11.3589
3.02e-05,-33.7933
3.03e-05,-15.6597
3.04e-05,-12.332
3.05e-05,-15.6278
3.06e-05,1.22264
3.07e-05,7.20738
3.08e-05,-22.4788
3.09e-05,-42.6354
3.1e-05,-4.4646
3.11e-05,-38.2041
3.12e-05,6.24397
3.13e-05,-39.6112
3.14e-05,-7.94091
3.15e-05,9.66678
3.16e-05,0.27353
3.17e-05,-17.3013
3.18e-05,-19.9701
3.19e-05,-24.0892
3.2e-05,-34.974
3.21e-05,-5.01546
3.22e-05,1.54999
3.23e-05,2.50291
3.24e-05,-7.61065
3.25e-05,22.6807
3.26e-05,11.2316
3.27e-05,-8.87042
3.28e-05,-14.1258
3.29e-05,-22.7598
3.3e-05,-5.17697
3.31e-05,-2.96251
3.32e-05,12.6517
3.33e-05,-18.0975
3.34e-05,1.82749
3.35e-05,-1.37629
3.36e-05,-18.023
3.37e-05,-8.68877
3.38e-05,-50.0601
3.39e-05,-14.188
3.4e-05,-2.10048
3.41e-05,-3.2394
3.42e-05,-9.21575
3.43e-05,-39.8184
3.44e-05,20.9325
3.45e-05,-6.684
3.46e-05,-22.1239
3.47e-05,-55.3755
3.48e-05,-14.3629
3.49e-05,-5.73815
3.5e-05,-26.2583
3.51e-05,-11.643
3.52e-05,-33.0315
3.53e-05,-9.56824
3.54e-05,-13.9069
3.55e-05,-33.0693
3.56e-05,-27.431
3.57e-05,-18.9282
3.58e-05,32.9139
3.59e-05,-8.2152
3.6e-05,-4.75469
3.61e-05,-26.9126
3.62e-05,-32.3597
3.63e-05,-19.4195
3.64e-05,-16.2671
3.65e-05,-11.2861
3.66e-05,-7.99608
3.67e-05,-3.60613
3.68e-05,-28.1287
3.69e-05,-4.92181
3.7e-05,-14.1143
3.71e-05,-18.1475
3.72e-05,-2.73126
3.73e-05,-37.2258
3.74e-05,-14.7901
3.75e-05,-15.4832
3.76e-05,-9.51718
3.77e-05,-7.91898
3.78e-05,1.32302
3.79e-05,-23.3458
3.8e-05,-16.2608
3.81e-05,-0.376932
3.82e-05,-1.72983
3.83e-05,-16.1316
3.84e-05,-20.8376
3.85e-05,26.0595
3.86e-05,-17.1806
3.87e-05,-7.72209
3.88e-05,-15.87
3.89e-05,-23.4501
3.9e-05,-11.0326
3.91e-05,0.142079
3.92e-05,-17.8137
3.93e-05,-23.8918
3.94e-05,-37.2081
3.95e-05,-34.4288
3.96e-05,-15.676
3.97e-05,-29.2901
3.98e-05,-16.5709
3.99e-05,0.588735
4e-05,2.95438
4.01e-05,-45.6568
4.02e-05,-24.193
4.03e-05,-19.8821
4.04e-05,-10.6433
4.05e-05,-30.9043
4.06e-05,-1.01708
4.07e-05,-24.9594
4.08e-05,-13.7236
4.09e-05,16.9382
4.1e-05,-2.98145
4.11e-05,-23.3281
4.12e-05,-21.7381
4.13e-05,-20.2514
4.14e-05,-20.6268
4.15e-05,-16.1911
4.16e-05,-24.4329
4.17e-05,-28.4073
4.18e-05,-33.7992
4.19e-05,-36.8636
4.2e-05,-3.50525
4.21e-05,-22.3855
4.22e-05,-19.0343
4.23e-05,-4.67493
4.24e-05,-5.86835
4.25e-05,-4.19386
4.26e-05,0.793884
4.27e-05,-0.735962
4.28e-05,-22.7493
4.29e-05,-14.2319
4.3e-05,-9.65083
4.31e-05,-16.5277
4.32e-05,-42.4444
4.33e-05,-33.4242
4.34e-05,-15.1133
4.35e-05,-42.279
4.36e-05,22.5892
4.37e-05,-63.3582
4.38e-05,10.0214
4.39e-05,5.92975
4.4e-05,-16.5072
4.41e-05,4.01983
4.42e-05,-12.9521
4.43e-05,-5.95509
4.44e-05,-28.6655
4.45e-05,-8.23505
4.46e-05,-26.5998
4.47e-05,-34.0111
4.48e-05,0.424351
4.49e-05,-20.8819
4.5e-05,-7.60766
4.51e-05,0.0175807
4.52e-05,-1.55737
4.53e-05,-16.6812
4.54e-05,-7.56984
4.55e-05,-22.8327
