Iteration,p(0.05),p(0.10),p(0.30),p(0.60),p(0.75),p(0.80),p(0.95)
0,5.04,9.81,29.87,60.14,74.69,79.87,95.45
1,0.84,4.12,33.86,15.61,3.84,2.1,0.14
2,0.47,3.25,29.32,13.69,1.74,0.88,0.02
3,0.43,3.05,29.23,12.59,1.31,0.69,0
4,0.43,3.01,27.02,12.31,1.21,0.69,0
5,0.43,2.9,26.47,11.77,1.08,0.63,0
6,0.43,3.25,24.88,11.51,1.01,0.57,0
7,0.43,3.18,24.69,11.28,1.04,0.61,0
8,0.43,3.49,23.5,10.96,0.97,0.61,0
9,0.43,3.33,22.66,11.16,1.11,0.69,0
10,0.43,3.34,22.41,10.82,1,0.69,0
11,0.43,3.3,21.9,10.68,1.17,0.85,0
12,0.43,3.39,21.06,11.38,1.01,0.69,0
13,0.43,3.51,20.02,10.91,1.04,0.69,0
14,0.43,3.37,19.54,10.5,1.09,0.69,0
15,0.43,3.34,18.65,9.87,1.09,0.69,0
16,0.43,3.3,18.16,10.11,1.14,0.69,0
17,0.43,3.42,17.99,9.98,1.11,0.69,0
18,0.43,3.54,17.03,9.59,1.13,0.69,0
19,0.43,3.57,16.57,9.18,1.22,0.69,0
20,0.43,3.59,16.33,8.83,1.16,0.69,0
21,0.43,3.62,16.08,9.07,1.29,0.69,0
22,0.43,4,16.05,8.6,1.16,0.69,0
23,0.43,3.94,16.72,8.57,1.17,0.69,0
24,0.43,4.02,17.3,8.24,1.17,0.69,0
25,0.43,3.89,16.51,8.25,1.21,0.69,0
26,0.43,4.11,15.96,8.33,1.26,0.69,0
27,0.43,4.17,15.53,7.96,1.18,0.69,0
28,0.43,4.11,15.06,8.01,1.26,0.69,0
29,0.43,3.94,15.04,7.76,1.21,0.69,0
30,0.43,4.1,15.69,7.84,1.26,0.69,0
31,0.43,3.63,14.61,7.69,1.27,0.69,0
32,0.43,3.61,14.81,7.97,1.26,0.69,0
33,0.43,3.61,13.87,7.79,1.26,0.69,0
34,0.43,3.57,14.49,7.65,1.27,0.69,0
35,0.43,3.56,14.52,7.68,1.34,0.69,0
36,0.43,3.72,13.99,7.67,1.38,0.69,0
37,0.43,3.77,13.88,7.88,1.38,0.69,0
38,0.43,3.67,13.57,8.01,1.39,0.69,0
39,0.43,3.55,13.26,7.75,1.49,0.69,0
40,0.43,3.37,13.46,8.09,1.41,0.69,0
41,0.43,3.33,14.18,8.14,1.34,0.69,0
42,0.43,3.23,13.5,8.32,1.36,0.69,0
43,0.43,3.29,13.34,8.47,1.43,0.69,0
44,0.43,3.37,12.59,8.27,1.55,0.69,0
45,0.43,3.47,12.67,8.22,1.53,0.69,0
46,0.43,3.37,12.11,8.3,1.58,0.69,0
47,0.43,3.44,12.33,8.3,1.53,0.69,0
48,0.43,3.45,11.36,8.14,1.55,0.69,0
49,0.43,3.66,11.1,8.45,1.42,0.69,0
50,0.43,3.54,11.06,8.46,1.48,0.69,0
51,0.43,3.52,10.87,8.39,1.44,0.69,0
52,0.43,3.59,10.79,8.35,1.54,0.69,0
53,0.43,3.42,10.88,8.54,1.53,0.69,0
54,0.43,3.46,10.82,8.31,1.54,0.69,0
55,0.43,3.27,10.29,8.04,1.5,0.69,0
56,0.43,3.32,10.36,7.65,1.42,0.69,0
57,0.43,3.3,10.34,7.86,1.42,0.69,0
58,0.43,3.44,10.31,8.19,1.34,0.69,0
59,0.43,3.55,10.63,7.64,1.31,0.69,0
60,0.43,3.35,10.31,8.13,1.3,0.69,0
61,0.43,3.45,10.42,7.83,1.26,0.69,0
62,0.43,3.45,9.58,7.44,1.25,0.69,0
63,0.43,3.6,9.72,7.76,1.24,0.69,0
64,0.43,3.48,9.8,7.68,1.21,0.69,0
65,0.43,3.62,10.1,7.53,1.21,0.69,0
66,0.43,3.55,10.25,7.61,1.14,0.69,0
67,0.43,3.58,10,7.95,1.16,0.69,0
68,0.43,3.44,10.21,7.95,1.17,0.69,0
69,0.43,3.56,10.3,8.16,1.22,0.69,0
70,0.43,3.47,10,8.36,1.13,0.69,0
71,0.43,3.51,9.89,8.54,1.11,0.69,0
72,0.43,3.6,9.97,8.54,1.13,0.69,0
73,0.43,3.49,10.37,8.82,1.2,0.69,0
