Iteration,AliveRatio
0,50.064
1,27.544
2,25.2672
3,25.0032
4,24
5,23.296
6,22.3648
7,21.7968
8,20.9952
9,20.6208
10,19.8288
11,19.5552
12,19.1232
13,18.4336
14,17.936
15,17.7248
16,17.3328
17,17.24
18,16.896
19,16.5408
20,16.2912
21,16.0336
22,15.9088
23,15.6512
24,15.5968
25,15.0992
26,15.1712
27,15.0624
28,14.8848
29,14.8432
30,14.3536
31,14.3776
32,14.1104
33,14.1312
34,13.816
35,13.6432
36,13.6512
37,13.5136
38,13.4864
39,13.5056
40,13.3248
41,12.9632
42,12.8352
43,12.6464
44,12.7776
45,12.5472
46,12.432
47,12.5168
48,12.3536
49,12.1456
50,12.1952
51,12.0208
52,11.9136
53,11.7136
54,11.48
55,11.3056
56,11.2384
57,11.0432
58,11.1376
59,11.1696
60,10.928
61,10.9104
62,10.8064
63,10.8304
64,10.4768
65,10.4752
66,10.4784
67,10.1424
68,10.168
69,10.0592
70,10.0176
71,10.1664
72,9.9824
73,9.888
74,10.0144
75,9.7712
76,9.656
77,9.656
78,9.5808
79,9.576
80,9.5936
81,9.3312
82,9.472
83,9.4928
84,9.5952
85,9.6368
86,9.7376
87,9.4928
88,9.6064
89,9.4656
90,9.7104
91,9.3264
92,9.3104
93,9.3104
94,9.3232
95,9.2064
96,9.2608
97,9.304
98,9.1696
99,9.1776
