Iteration,AliveRatio
0,0.499672
1,0.498135
2,0.496665
3,0.495524
4,0.493771
5,0.492865
6,0.491837
7,0.49084
8,0.490045
9,0.489911
10,0.48946
11,0.489182
12,0.489028
13,0.489018
14,0.488718
15,0.48837
16,0.488189
17,0.488022
18,0.488123
19,0.487402
20,0.48733
21,0.48728
22,0.487224
23,0.486975
24,0.486937
25,0.486492
26,0.486293
27,0.486028
28,0.485912
29,0.485794
30,0.485704
31,0.485797
32,0.485598
33,0.485565
34,0.48519
35,0.485039
36,0.484888
37,0.484832
38,0.484557
39,0.484674
40,0.484782
41,0.484386
42,0.484425
43,0.484044
44,0.48395
45,0.483789
46,0.483697
47,0.483834
48,0.483515
49,0.483306
50,0.483107
51,0.483007
52,0.482576
53,0.48229
54,0.482178
55,0.482302
56,0.482079
57,0.482121
58,0.481895
59,0.481715
60,0.481624
61,0.481614
62,0.481368
63,0.480956
64,0.480843
65,0.480819
66,0.480652
67,0.480305
68,0.480362
69,0.479972
70,0.480002
71,0.479632
72,0.479455
73,0.479547
74,0.479532
75,0.479345
76,0.479195
77,0.478969
78,0.478754
79,0.478521
80,0.478329
81,0.478514
82,0.478402
83,0.478234
84,0.478279
85,0.478093
86,0.47824
87,0.47782
88,0.477652
89,0.477623
90,0.477526
91,0.477423
92,0.477212
93,0.477296
94,0.477336
95,0.477355
96,0.477069
97,0.477206
98,0.477214
99,0.476924
