step,system_1,system_2,system_3
0,214.953,214.958,214.964
1,214.156,214.161,214.167
2,213.352,213.357,213.363
3,212.539,212.544,212.55
4,211.718,211.723,211.729
5,210.889,210.894,210.9
6,210.052,210.057,210.063
7,209.206,209.211,209.217
8,208.352,208.357,208.363
9,207.489,207.494,207.501
10,206.618,206.623,206.63
11,205.738,205.743,205.75
12,204.85,204.855,204.861
13,203.952,203.957,203.964
14,203.046,203.051,203.058
15,202.131,202.136,202.143
16,201.207,201.212,201.219
17,200.273,200.278,200.285
18,199.331,199.336,199.343
19,198.379,198.384,198.391
20,197.418,197.423,197.43
21,196.447,196.452,196.459
22,195.467,195.472,195.479
23,194.477,194.482,194.49
24,193.478,193.482,193.49
25,192.468,192.473,192.481
26,191.449,191.453,191.461
27,190.419,190.424,190.432
28,189.38,189.384,189.392
29,188.33,188.334,188.342
30,187.269,187.274,187.282
31,186.199,186.203,186.211
32,185.117,185.121,185.13
33,184.025,184.029,184.038
34,182.922,182.926,182.935
35,181.808,181.812,181.821
36,180.682,180.686,180.695
37,179.546,179.55,179.559
38,178.398,178.402,178.411
39,177.238,177.242,177.251
40,176.066,176.07,176.08
41,174.883,174.887,174.897
42,173.687,173.692,173.701
43,172.48,172.484,172.494
44,171.259,171.264,171.274
45,170.027,170.031,170.041
46,168.781,168.786,168.796
47,167.523,167.527,167.538
48,166.251,166.256,166.266
49,164.966,164.971,164.981
50,163.667,163.672,163.683
51,162.355,162.36,162.371
52,161.028,161.033,161.044
53,159.687,159.693,159.704
54,158.332,158.337,158.349
55,156.962,156.967,156.979
56,155.577,155.582,155.594
57,154.176,154.182,154.193
58,152.76,152.766,152.777
59,151.328,151.334,151.345
60,149.879,149.886,149.897
61,148.414,148.421,148.432
62,146.933,146.939,146.951
63,145.434,145.44,145.452
64,143.917,143.924,143.936
65,142.382,142.389,142.401
66,140.829,140.836,140.849
67,139.257,139.264,139.277
68,137.665,137.673,137.686
69,136.054,136.062,136.075
70,134.423,134.431,134.444
71,132.77,132.779,132.792
72,131.097,131.105,131.119
73,129.401,129.41,129.424
74,127.683,127.692,127.706
75,125.941,125.951,125.965
76,124.175,124.185,124.2
77,122.385,122.395,122.41
78,120.569,120.579,120.595
79,118.727,118.737,118.753
80,116.857,116.868,116.884
81,114.958,114.969,114.986
82,113.03,113.042,113.059
83,111.071,111.083,111.101
84,109.079,109.092,109.11
85,107.054,107.067,107.086
86,104.994,105.007,105.027
87,102.896,102.91,102.93
88,100.759,100.773,100.794
89,98.5795,98.5948,98.6168
90,96.3556,96.3717,96.3948
91,94.0838,94.1007,94.125
92,91.7602,91.778,91.8037
93,89.38,89.3989,89.4262
94,86.9374,86.9576,86.9867
95,84.4251,84.4467,84.4781
96,81.8331,81.8565,81.8906
97,79.148,79.1737,79.2112
