value,count_1,count_2
0,8,15
1,13,10
2,7,10
3,11,18
4,8,12
5,10,14
6,4,18
7,13,11
8,7,14
9,9,20
10,9,10
11,15,10
12,10,9
13,10,14
14,8,18
15,5,11
16,14,13
17,9,7
18,9,16
19,15,7
20,15,16
21,9,9
22,11,9
23,11,10
24,8,11
25,11,11
26,8,9
27,10,8
28,11,11
29,11,17
30,8,8
31,15,10
32,12,11
33,14,20
34,11,14
35,6,13
36,8,13
37,12,13
38,9,12
39,15,10
40,10,9
41,7,9
42,13,6
43,10,19
44,12,14
45,12,15
46,5,9
47,13,9
48,4,14
49,11,15
50,9,14
51,9,13
52,11,11
53,6,12
54,11,11
55,10,14
56,10,9
57,10,8
58,7,9
59,11,5
60,8,13
61,7,7
62,5,13
63,8,9
64,7,12
65,12,13
66,12,12
67,7,9
68,11,12
69,11,17
70,18,14
71,10,9
72,11,11
73,8,12
74,11,17
75,16,13
76,8,9
77,9,12
78,13,13
79,15,19
80,15,9
81,5,21
82,10,15
83,13,17
84,7,15
85,10,11
86,12,11
87,7,13
88,12,15
89,8,10
90,6,12
91,14,11
92,11,6
93,9,15
94,14,11
95,10,7
96,12,14
97,10,11
98,9,17
99,18,10
100,14,16
101,7,8
102,9,18
103,8,18
104,9,14
105,10,17
106,6,14
107,11,13
108,5,11
109,12,14
110,9,16
111,10,6
112,7,10
113,18,10
114,6,13
115,8,11
116,9,17
117,11,12
118,7,9
119,12,14
120,12,11
121,9,15
122,14,13
123,16,7
124,12,14
125,9,15
126,8,20
127,9,16
128,9,17
129,14,8
130,16,16
131,8,17
132,13,13
133,6,17
134,11,13
135,8,8
136,7,10
137,10,15
138,5,14
139,10,11
140,11,15
141,10,14
142,7,8
143,13,9
144,10,16
145,16,15
146,12,11
147,13,16
148,4,9
149,12,20
150,12,9
151,8,11
152,8,15
153,14,10
154,9,9
155,8,14
156,11,15
157,6,13
158,11,12
159,9,12
160,9,10
161,6,15
162,5,14
163,7,12
164,5,11
165,10,15
166,10,12
167,14,16
168,10,6
169,12,10
170,13,15
171,8,8
172,10,13
173,16,11
174,11,11
175,16,16
176,7,15
177,5,16
178,13,12
179,4,17
180,10,13
181,5,12
182,14,15
183,7,14
184,9,8
185,8,20
186,10,22
187,11,11
188,16,11
189,8,13
190,8,10
191,7,18
192,6,16
193,14,16
194,9,16
195,13,10
196,11,9
197,15,9
198,10,10
199,17,12
200,9,11
201,7,14
202,13,11
203,7,7
204,13,10
205,4,18
206,16,10
207,13,12
208,3,10
209,9,10
210,6,11
211,11,14
212,13,7
213,10,12
214,8,12
215,16,10
216,6,11
217,12,7
218,17,12
219,8,9
220,11,8
221,12,10
222,12,15
223,13,16
224,13,18
225,6,10
226,11,4
227,14,11
228,5,10
229,12,17
230,9,10
231,8,10
232,11,9
233,14,9
234,14,9
235,5,13
236,13,15
237,14,5
238,7,15
239,10,8
240,10,12
241,11,12
242,11,14
243,14,13
244,14,8
245,4,10
246,6,17
247,8,9
248,9,10
249,10,6
250,10,8
251,6,10
252,6,21
253,6,10
254,10,13
255,17,9
256,6,13
257,8,11
258,10,13
259,7,19
260,10,7
261,13,14
262,12,13
263,12,10
264,13,14
265,10,10
266,3,14
267,11,13
268,13,10
269,7,13
270,8,15
271,10,10
272,10,13
273,9,8
274,6,10
275,7,12
276,12,11
277,8,9
278,12,13
279,6,17
280,10,11
281,10,9
282,7,13
283,9,13
284,4,12
285,5,12
286,10,17
287,14,14
288,8,13
289,10,11
290,8,10
291,3,11
292,14,10
293,9,12
294,9,11
295,12,14
296,12,17
297,18,10
298,20,9
299,6,12
300,11,6
301,10,11
302,13,10
303,5,11
304,15,13
305,14,15
306,9,15
307,11,14
308,15,11
309,13,13
310,9,8
311,8,11
312,15,7
313,8,9
314,14,6
315,11,9
316,8,9
317,9,11
318,7,11
319,8,14
320,8,11
321,11,8
322,9,9
323,13,19
324,7,12
325,17,13
326,9,12
327,8,8
328,9,12
329,5,7
330,8,19
331,8,13
332,10,16
333,8,16
334,10,12
335,10,17
336,10,8
337,11,8
338,12,11
339,11,12
340,11,12
341,14,18
342,4,9
343,4,8
344,11,12
345,6,9
346,8,16
347,6,13
348,14,8
349,10,12
350,7,15
351,9,14
352,3,7
353,15,17
354,14,8
355,11,11
356,14,11
357,8,11
358,10,9
359,9,10
360,15,12
361,9,17
362,9,9
363,5,19
364,11,6
365,8,14
366,3,10
367,9,19
368,9,8
369,9,9
370,15,15
371,5,12
372,7,9
373,12,8
374,9,10
375,4,11
376,10,9
377,8,9
378,5,13
379,8,18
380,12,14
381,12,9
382,14,13
383,8,15
384,12,15
385,12,14
386,13,9
387,11,9
388,9,11
389,12,12
390,9,13
391,7,14
392,8,14
393,7,15
394,9,13
395,8,9
396,12,11
397,6,10
398,9,12
399,7,17
400,9,14
401,9,10
402,5,11
403,7,9
404,9,11
405,12,8
406,12,7
407,11,9
408,8,12
409,7,18
410,12,12
411,7,14
412,10,17
413,15,10
414,10,8
415,8,10
416,10,14
417,10,13
418,8,12
419,6,10
420,11,5
421,10,12
422,14,12
423,4,12
424,14,10
425,6,15
426,11,5
427,7,9
428,5,13
429,5,13
430,12,9
431,9,8
432,4,13
433,14,11
434,8,9
435,10,18
436,10,11
437,7,10
438,7,20
439,11,12
440,10,9
441,5,9
442,10,11
443,7,12
444,13,9
445,11,10
446,9,17
447,12,11
448,10,9
449,10,6
450,11,15
451,11,12
452,8,11
453,9,10
454,13,15
455,10,18
456,9,9
457,10,9
458,8,22
459,12,14
460,20,14
461,11,16
462,10,8
463,13,11
464,7,9
465,15,15
466,12,11
467,10,13
468,17,12
469,7,16
470,10,11
471,12,10
472,10,13
473,11,9
474,10,13
475,12,17
476,14,11
477,7,9
478,11,17
479,10,13
480,9,10
481,15,15
482,12,12
483,5,15
484,7,12
485,12,20
486,8,15
487,11,17
488,6,17
489,10,13
490,13,8
491,6,15
492,4,14
493,13,12
494,14,15
495,10,9
496,19,9
497,4,15
498,8,15
499,8,17
500,10,11
501,12,15
502,16,17
503,14,10
504,8,13
