step,walk_1_x,walk_1_y,walk_2_x,walk_2_y,walk_3_x,walk_3_y,walk_4_x,walk_4_y,walk_5_x,walk_5_y,walk_6_x,walk_6_y,walk_7_x,walk_7_y,walk_8_x,walk_8_y,walk_9_x,walk_9_y,walk_10_x,walk_10_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-1,-1,0,1,-1,0,1,0,1,-1,-1,0,1,-1,0,0,-1,-1,1,0
2,0,-2,0,0,-2,1,0,-1,1,0,0,-1,2,0,-1,-1,-2,-2,2,0
3,-1,-1,0,-1,-3,1,-1,0,1,1,1,-1,1,1,-1,0,-2,-3,1,-1
4,0,0,-1,-1,-4,0,-2,0,0,1,1,-2,1,1,-2,-1,-2,-2,2,0
5,-1,1,-2,-2,-3,-1,-3,-1,1,0,2,-3,2,0,-3,0,-2,-2,3,1
6,-1,0,-3,-3,-3,0,-4,-2,2,-1,2,-2,2,-1,-4,1,-2,-1,3,1
7,-2,0,-4,-4,-4,1,-4,-1,2,0,3,-3,1,0,-4,1,-3,-1,2,1
8,-3,1,-3,-5,-4,1,-5,0,3,1,3,-4,2,1,-4,1,-3,-1,1,2
9,-4,0,-2,-6,-3,0,-5,0,2,0,2,-4,1,2,-5,0,-4,0,0,3
10,-3,0,-1,-6,-3,-1,-6,0,3,1,2,-4,0,1,-6,-1,-5,-1,-1,4
11,-2,-1,0,-5,-4,0,-6,-1,4,2,3,-5,0,2,-7,-1,-6,-1,-1,3
12,-3,-1,0,-4,-5,-1,-5,-2,4,1,2,-5,1,3,-7,0,-7,-2,-1,2
13,-3,-1,-1,-5,-4,0,-5,-3,4,1,3,-4,1,2,-8,0,-6,-1,0,1
14,-2,-2,-2,-5,-5,1,-4,-3,5,2,2,-3,1,3,-7,1,-7,-1,-1,1
15,-2,-2,-2,-4,-4,2,-5,-2,5,2,2,-4,1,4,-8,0,-8,-2,0,0
16,-3,-2,-2,-3,-5,1,-6,-3,4,2,3,-4,0,4,-9,-1,-9,-3,-1,1
17,-2,-3,-3,-2,-5,2,-6,-4,3,1,4,-3,-1,3,-8,-1,-8,-2,0,1
18,-3,-4,-3,-3,-6,2,-5,-3,3,1,5,-4,-1,4,-8,-2,-9,-3,1,2
19,-3,-5,-4,-2,-7,2,-4,-3,3,0,5,-4,0,4,-7,-1,-8,-4,1,3
20,-4,-4,-5,-1,-8,2,-4,-4,3,1,5,-3,1,3,-8,-2,-7,-3,2,4
21,-4,-5,-5,0,-7,1,-3,-4,3,2,5,-3,0,4,-9,-3,-8,-2,2,3
22,-5,-6,-5,-1,-6,1,-3,-3,2,1,4,-2,0,4,-9,-3,-9,-1,2,3
23,-6,-5,-6,-1,-6,2,-2,-3,2,2,3,-2,0,4,-9,-3,-8,0,1,2
24,-6,-6,-6,-1,-6,2,-2,-2,1,3,2,-2,1,4,-8,-2,-9,1,2,2
25,-5,-5,-5,-1,-6,1,-1,-1,2,2,2,-1,0,4,-8,-2,-8,1,3,1
26,-5,-4,-5,-2,-5,0,0,0,3,2,1,-2,1,3,-9,-2,-9,1,4,1
27,-6,-5,-4,-1,-5,1,-1,0,3,3,1,-1,2,2,-9,-1,-9,1,3,2
28,-6,-5,-5,0,-5,1,-1,0,4,2,0,-2,3,3,-8,0,-8,1,3,1
29,-7,-4,-5,-1,-4,2,-2,-1,4,1,-1,-3,4,2,-7,0,-8,2,3,2
30,-7,-3,-6,0,-3,1,-3,0,5,1,0,-2,5,3,-8,-1,-9,3,4,2
31,-6,-2,-5,-1,-4,2,-2,0,4,2,-1,-2,4,3,-8,-1,-9,4,3,3
32,-5,-3,-5,-1,-4,3,-3,0,3,1,-2,-1,4,3,-8,-1,-8,4,4,4
33,-6,-3,-5,-1,-4,3,-4,1,3,1,-2,0,5,3,-8,0,-8,3,5,4
34,-5,-4,-6,-2,-4,4,-5,1,2,0,-3,-1,6,4,-7,1,-7,4,4,3
35,-4,-3,-6,-1,-3,4,-5,1,1,-1,-2,-2,7,5,-8,0,-6,5,5,2
36,-4,-4,-7,0,-4,3,-6,0,2,0,-2,-1,6,6,-9,0,-6,6,5,1
