step,walk_1_x,walk_1_y,walk_2_x,walk_2_y,walk_3_x,walk_3_y,walk_4_x,walk_4_y,walk_5_x,walk_5_y,walk_6_x,walk_6_y,walk_7_x,walk_7_y,walk_8_x,walk_8_y,walk_9_x,walk_9_y,walk_10_x,walk_10_y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,-1,-1,0,1,1,0,1,-1,1,-1,0,-1,0,-1,1,0,0,1,-1
2,-1,-1,-2,1,0,2,1,1,0,2,-2,0,-2,-1,-1,1,0,1,1,-1
3,0,0,-2,2,-1,2,1,0,1,3,-2,0,-2,-1,-1,0,1,1,0,0
4,0,-1,-3,1,0,1,0,1,0,3,-2,0,-3,-2,0,-1,0,0,-1,-1
5,1,-2,-3,2,-1,0,-1,2,1,4,-1,-1,-4,-1,0,-2,0,1,0,-2
6,1,-2,-4,3,0,-1,0,2,1,4,0,0,-4,0,-1,-1,1,2,-1,-1
7,1,-3,-5,4,1,0,0,1,1,3,1,-1,-3,1,0,-2,1,1,-2,-2
8,2,-3,-6,4,0,-1,0,0,0,2,0,-2,-3,0,1,-3,2,1,-1,-2
9,1,-2,-6,3,-1,-1,1,0,1,3,1,-2,-2,0,0,-4,1,1,-1,-1
10,2,-1,-6,3,-2,-1,1,-1,0,4,2,-2,-2,-1,-1,-3,1,2,-2,-1
11,2,0,-5,3,-1,0,0,0,1,5,1,-1,-1,-1,-1,-4,2,1,-3,-2
12,2,0,-5,3,0,-1,-1,0,2,5,2,-2,-1,-1,0,-3,2,2,-2,-3
13,1,-1,-5,2,-1,0,-2,0,3,4,2,-2,0,-2,-1,-2,2,1,-3,-3
14,0,0,-5,1,-2,0,-1,1,2,3,3,-2,1,-3,-2,-1,3,0,-2,-2
15,1,1,-4,1,-1,0,0,1,2,3,4,-1,2,-3,-1,-2,2,-1,-1,-2
16,0,2,-4,0,-1,0,-1,1,2,3,3,0,1,-2,0,-2,1,-2,-1,-3
17,1,3,-3,0,0,0,-1,2,2,3,2,1,0,-2,-1,-2,0,-2,0,-3
18,0,4,-2,-1,0,0,-2,1,3,4,1,1,-1,-2,0,-1,1,-3,-1,-2
19,0,3,-1,0,1,0,-3,2,2,4,0,1,-2,-3,-1,-2,1,-3,0,-2
20,-1,3,-1,1,0,0,-3,3,1,3,0,2,-3,-4,-1,-2,2,-2,-1,-2
21,0,2,-2,2,1,-1,-4,2,0,2,-1,3,-3,-4,-2,-1,3,-1,0,-2
22,-1,3,-3,1,0,0,-3,1,0,1,-1,3,-2,-4,-1,-2,2,-2,-1,-2
23,-2,2,-3,2,0,1,-3,2,0,0,-1,3,-3,-3,-2,-3,2,-2,0,-3
24,-2,2,-3,2,0,1,-2,2,0,1,0,4,-4,-4,-3,-2,2,-2,1,-3
25,-3,3,-4,2,0,2,-1,2,-1,1,0,3,-4,-5,-2,-2,1,-1,0,-4
26,-3,2,-5,2,1,2,-2,1,-1,1,0,3,-5,-4,-2,-1,2,0,0,-4
27,-3,2,-4,1,1,2,-1,0,0,1,-1,2,-5,-4,-2,-1,2,0,1,-3
28,-3,2,-5,0,2,3,-1,-1,1,2,-1,2,-4,-5,-1,-1,2,-1,2,-3
29,-2,3,-6,0,2,4,-2,-1,0,3,0,1,-3,-6,-1,-1,3,-1,3,-4
30,-2,4,-7,1,3,4,-3,0,-1,4,-1,0,-3,-5,0,0,4,-1,2,-3
31,-2,4,-6,2,2,4,-3,-1,-1,3,0,0,-3,-4,-1,0,5,0,2,-3
32,-1,3,-7,3,3,5,-2,-1,0,2,-1,0,-3,-5,0,-1,5,-1,1,-2
33,-2,4,-6,2,3,6,-3,-2,1,1,-1,0,-2,-4,-1,-2,5,-1,1,-3
34,-2,5,-7,3,3,6,-3,-2,0,1,-1,1,-1,-3,-2,-3,4,-2,1,-3
35,-1,4,-8,4,4,6,-2,-1,1,1,-2,0,-1,-3,-3,-2,3,-3,0,-2
36,-1,4,-7,5,3,5,-1,0,0,0,-1,1,-2,-3,-2,-3,3,-3,-1,-3
37,0,4,-6,6,2,6,-1,1,1,0,-2,0,-3,-4,-1,-2,2,-4,-1,-2
38,1,4,-7,6,2,7,0,2,1,-1,-3,1,-2,-5,-1,-3,1,-5,-1,-1
39,1,3,-8,5,3,7,0,1,0,-1,-2,1,-3,-6,0,-4,2,-6,-1,0
40,2,2,-8,5,2,8,0,1,1,-1,-1,2,-4,-7,1,-3,1,-5,0,0
41,3,2,-7,4,1,7,0,0,1,-2,-2,1,-4,-6,0,-4,2,-6,0,0
42,4,1,-6,3,2,8,0,0,0,-2,-2,0,-5,-7,1,-5,2,-7,-1,1
43,3,2,-7,4,3,9,-1,1,-1,-3,-2,0,-5,-8,0,-6,2,-8,-2,2
44,4,2,-8,3,4,8,-2,2,-1,-2,-2,0,-4,-7,1,-6,1,-8,-1,2
45,5,2,-7,3,4,8,-1,1,-2,-1,-1,1,-4,-8,1,-6,1,-8,-1,2
46,6,3,-6,2,3,9,-2,2,-3,0,0,1,-4,-8,1,-7,2,-9,0,2
47,7,4,-5,1,4,10,-1,3,-4,0,1,0,-4,-9,2,-8,1,-8,1,1
48,7,5,-6,1,5,11,-1,2,-5,0,2,1,-5,-10,3,-9,1,-7,2,1
49,6,4,-6,1,5,12,-2,3,-5,0,1,2,-4,-10,2,-9,2,-7,2,2
50,5,4,-6,0,4,11,-2,4,-4,0,0,1,-3,-11,2,-8,1,-6,1,2
51,4,3,-6,1,4,12,-3,5,-4,-1,0,0,-4,-10,3,-9,1,-5,2,3
