position,value
-95,1
-92,1
-83,2
-82,2
-80,1
-79,2
-78,4
-77,3
-75,2
-73,2
-72,2
-71,6
-70,3
-69,3
-68,4
-67,6
-66,9
-65,4
-64,10
-63,11
-62,6
-61,10
-60,10
-59,14
-58,14
-57,11
-56,16
-55,9
-54,14
-53,17
-52,19
-51,22
-50,14
-49,32
-48,27
-47,23
-46,33
-45,38
-44,41
-43,30
-42,39
-41,34
-40,50
-39,54
-38,48
-37,51
-36,49
-35,72
-34,60
-33,60
-32,68
-31,72
-30,69
-29,93
-28,69
-27,81
-26,105
-25,111
-24,102
-23,103
-22,95
-21,113
-20,108
-19,148
-18,111
-17,150
-16,127
-15,117
-14,139
-13,129
-12,125
-11,145
-10,136
-9,146
-8,138
-7,146
-6,161
-5,129
-4,162
-3,145
-2,145
-1,150
0,159
1,153
2,174
3,163
4,180
5,138
6,156
7,157
8,158
9,147
10,132
11,133
12,131
13,120
14,129
15,136
16,112
17,115
18,141
19,123
20,113
21,105
22,114
23,102
24,93
25,97
26,89
27,87
28,85
29,98
30,78
31,81
32,62
33,73
34,77
35,56
36,54
37,54
38,45
39,61
40,55
41,52
42,59
43,30
44,46
45,40
46,26
47,32
48,27
49,24
50,15
51,18
52,26
53,22
54,26
55,9
56,18
57,21
58,9
59,15
60,12
61,9
62,15
63,8
64,8
65,7
66,5
67,5
68,6
69,4
70,4
71,4
72,1
73,1
74,2
75,2
76,3
77,2
78,1
79,1
80,1
81,1
83,1
84,1
85,3
86,3
87,2
88,1
89,1
92,1
112,1
